Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
Honduras,"HND","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","1.04527497041556","1.1543409290293","0.549094772284932","0.607246123470169","0.83643941493615","0.758089190876917","0.697934304413644","0.831327630645784","0.788869873058126","0.978596486845506","1.05673038003862","1.13012783277772","1.09136500135431","1.13674823742758","0.961452577780664","1.06064942980344","1.16686372955052","1.07074968259699","1.32975607785737","0.904744359844797","1.0609136819492","1.19357588519689","1.13956733353254","1.4860264714004","1.26693450640812","","","","","","1.50165896041506","1.30117132041172","1.20826100976163","1.18456620255395","1.44857817171482","1.19069515376546","1.23694197693817","1.12683010022908","1.09822695438972","1.03037034541457","1.08828601897339","0.911324711969927","0.89345352421891","1.16460109160853","0.930244326708519","","0.714157386071323","0.708770750816974","0.684862015050258","0.657276693268514","","0.606352134094998","0.653156708513734","0.54598475777751","0.482745270053742","0.45976950769889","0.403344679557983","0.346757902766207","0.351294250767948"
Honduras,"HND","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","78.9457537739519","79.4779439865144","81.2079620804573","81.3032031284886","81.1874672611724","79.0901874001625","80.0768706544333","80.2689466395592","79.468780614713","77.1755446272502","78.22392065975","70.3375338312793","67.8016171775428","76.5790669897941","76.7483134994931","77.4219197647087","76.6136968393779","72.0445860618995","71.8093600310663","66.2088811547605","65.5386354474572","74.7034178446855","62.8105156642227","67.3604102997181","68.9631648442288","","","","","","70.764415440771","70.2035662444146","73.5553644408743","68.097470994158","68.1730985889373","71.6461024163774","70.6078698624945","66.7091574935552","66.5569367069214","67.4358316643062","66.6057993780875","67.3313775181828","61.5275480850303","62.8077146791436","63.6362246659385","","60.1293570586003","59.4266662474542","57.2935149178136","56.319689583088","","57.0246450551872","64.3467359921984","64.6625060680584","65.1487607338715","63.3824952925684","62.0307855660134","62.734756463781","64.5682938745706"
"Hong Kong SAR, China","HKG","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","1.72373391583404","1.64127898139761","2.01581364394109","1.8543625275597","1.72006417658535","1.79975842033292","2.16001462866548","1.88831130286321","2.07866523698372","1.98865726123101","1.81584037935715","1.7774840589332","2.14292103029263","1.90129688687525","1.95184253533524","1.70687046923036","1.64739971176348","1.72805735493927","1.90482207487037","1.69130858228726","1.73466139812133","1.75412990921518","1.79519357324689","2.19050332454924","1.79451533301826","1.83279867866281","","","","","1.82760628036333","1.50948902731466","1.41599585619836","2.06651447813495","2.05003536648718","2.04313012961343","2.02160494603495","1.66744036418972","1.74338290261714","1.67578084822769","1.68783081942345","1.72447659878547","1.81521477467725","1.74743176842433","2.47627140524416","2.44626216943691","2.17018651770214","2.13938131086","1.7477676773503","1.70079238943054","1.39804922125765","1.16273900136959","1.17711900808343","1.07466824910354","0.931551939160645","1.10047529570268","1.06994204904435","1.44015868544986","1.6853287271402","1.90538279364688"
"Hong Kong SAR, China","HKG","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","55.5617860639003","57.468847874788","57.8881485754537","59.0899812492448","60.1812659997541","60.3229967276498","62.5412998180769","66.1954173034302","68.1604402874483","68.0983359682876","69.1052843323972","69.0278570626826","64.8559079441837","63.7520045849123","66.7087277990037","68.5520203219965","72.2408134886363","74.0177679404767","75.1382921695448","74.18175431428","72.8186514650957","74.6188049847369","77.5417147818086","78.3656826566134","81.231844814287","83.0055799377539","","","","","84.5435977157344","87.2871071016043","86.5734928195407","86.9886791353625","86.8507639892282","86.5722230971056","87.869958670892","89.1106522997541","90.0119328509551","90.357280865442","90.8693008749483","90.9855544675781","90.9833044297464","91.629968268949","90.6997633684431","90.1369092468314","88.7948647207685","88.2434892417906","88.1849579532851","84.585424732254","81.8622829037982","75.7258479898071","82.0292595743676","85.245899548792","86.5492349553954","86.6438585984954","87.5990159361404","88.5042934874853","88.2096066429847","88.2124021913653"
Hungary,"HUN","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","2.50937202365417","2.74742705810176","11.5538145741752","2.52831803280963","2.75021723855582","2.79913838973002","2.40601819982121","1.66383215028349","1.78569308268359","1.59787457979524","1.2764944814513","1.31172519091329","5.83866087569386","5.76545017745602","5.2324251041797","5.36823308713513","5.87792732021512","5.48739679306485","4.89616122510509","4.89077156957629","4.96302384604248","4.41107007255477","4.61097555209305","4.39270298236617","","","","3.76620313316993","3.12386513922897","2.69741359579173","3.33597603124228","4.27987498220625","4.00289376729989","3.39269377153828","2.69167691856062","2.28491443906515","2.69395868491529","2.43192645604291","2.32362795152513","2.28315984661164","2.58744426966123","1.92947227408719","2.58049028773757","2.62078719073424","2.2294950162304","2.04689917723968","2.81122967486939","3.04581837957438","2.75924646124981","2.51931468587726","2.37750144324491","2.53345845789409","2.39630911227242","2.72897713083784","2.8292451612637","2.51989336163403","2.32713190095873","2.84515242211706"
Hungary,"HUN","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","5.94534544962232","5.93621183211825","24.7668434683878","6.48997046257918","6.72494615141756","7.09705980656981","7.26818504156164","7.05114967130889","7.15316111822021","7.76843838133071","7.6932083631114","7.5781275074777","64.4823813500498","64.3890079037108","65.8116882784359","63.6899828481971","61.9618051415596","62.6420491144392","61.8885193251564","59.0505464594601","59.013679910614","60.6205484481463","61.3247758634099","65.7671514282949","","","","71.8998680715739","72.9630223264202","73.8585514307586","71.653338731306","75.1683076227057","74.36583243413","79.2387335243948","83.7804170392184","86.0468171029468","83.9485857887415","83.9202637251396","84.4062194475679","84.423168658862","84.0952276369832","77.4621907096828","74.9802694936513","75.8196904582241","72.5465691304231","72.0764322152983","72.085063271102","71.2183231099435","70.8269453154765","72.3925537808045","73.7583436833637","77.6686796673298","82.7332653870829","80.972527291723","80.7518280720862","81.0366663424666","83.2004327916224","79.5266959585159"
Iceland,"ISL","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","2.20694666493712","1.827118905312","1.57246475345636","1.64450278581828","1.47051892815461","1.41884519700699","1.88555214413881","6.28289250929718","4.851369587441","4.94164179281934","3.74870331843531","1.1058804662445","1.28309736741683","1.32141533990075","1.33380820744241","1.16120845401056","1.36779875352149","1.23819109018688","1.67988744634261","1.48647512629907","1.37080070446144","1.63325646573364","1.44357649004668","1.55536226497623","1.58215398936848","1.28616461858494","3.12099522277156","4.03824939135727","3.97727490775562","4.20270667242228","3.67533025806149","3.77011118494929","3.64124137336731","4.56845666666374","4.02027587656196","3.21873862674025","4.54818523653595","4.48440102136564","4.93482053768461","5.7708514590824","7.04847331119776","5.35270896896808","4.99161212853373","4.10458348335264","6.06046718626919","6.18352192968761","12.7867293225085","13.3928093835213","15.9696900837042","15.386283532801","13.0495240993668","12.5807395786816","11.773280325273","11.9090602792093","9.4907685082976","10.7862449690502","13.1033274784286","11.4677580942933","9.98768092371068","9.9280375148389"
Iceland,"ISL","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","67.4235148630298","70.453810727732","73.2502918474485","73.067961408486","76.6174302513056","75.4946679936011","71.0767893276276","66.4125712647364","69.0379208427328","73.9475570525296","74.0497250599742","77.2612646448304","73.290599892382","72.1595903150572","71.2176007832078","72.6289873968791","73.640306702757","66.4117952519809","68.2916434701645","69.3241427524533","70.1118029544449","67.6500640868079","68.9214357839339","70.0295344169233","77.0114929739375","81.0679425174498","79.7736030704346","75.431321271058","75.026190333415","76.4250495430352","76.4454096310474","73.419893451655","74.5954037548808","74.6515659400053","75.7935230579055","77.2286321406245","78.0956621243754","78.4971408992116","74.9728637105962","73.5002486808844","71.1026181660277","74.5690425712317","74.2564081125217","77.3155050129212","77.0227994867818","75.8277942874633","64.8977700069345","61.6522978402039","58.6428515092992","58.448375118442","60.3860568952709","56.6169186950086","59.3098483453922","62.9127877406833","68.4348352741506","67.4203511685986","61.6425590850265","64.0924707151149","68.8560886404684","70.0153505611583"
India,"IND","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","6.06970751808444","6.32163926156093","6.32599717841975","7.06224913132959","5.1184421909002","8.00818748349786","6.83931054837715","6.7825529375374","9.87106796402075","8.93427254715459","8.34894139220448","7.10634201364139","6.90689349776121","5.37818030834402","5.28085326781873","5.8804662882853","5.97735560995043","6.7355917641342","5.92991913216079","5.95425009211583","","5.64586560520474","5.94327211774873","7.01646943440061","7.06231619531599","7.05838994345415","7.67336647817473","8.94324962867484","8.14059749111907","6.40364544022401","6.72963545777743","5.24528650708475","7.44135723751107","6.84835971316296","6.66693256298466","6.00488388970525","5.56276644848824","4.99260880477331","4.55951722732474","5.21483878979905","4.44113857193592","3.95963905338332","4.33161136559151","4.81607096908002","5.95227847038455","6.24301843162821","5.4788344958645","5.08102964387544","4.78745313989732","5.53644755415814","5.03259719328166","5.83743487910085","5.94358526486559","6.47213486642968","5.26754235316349","5.64045090260919","5.98175499848877","5.19863637802351","5.23393390284718","5.46113363990412"
India,"IND","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","58.3857967632395","60.0829797127787","61.0539985694982","57.6073148232277","46.7707249103479","47.5164729583719","54.3020660481899","49.8729328755922","49.4232648613441","56.9868367716569","60.8089975712092","53.7207885759193","43.3712462536411","55.6408992633934","38.3684924890832","43.1927610870613","48.4519414716474","47.3170484261943","38.6933495626463","39.3271203558776","","49.0726562192754","48.9264095715423","54.3920296187343","66.7849681185663","53.3325124161907","56.8515042256977","58.9652250284771","51.1367203419896","49.8514267208455","49.1891751631788","52.8354535573049","50.1954020698315","52.7828056781489","48.779354977591","50.0181483837712","47.3442644689527","45.8501788345586","42.4338222407427","43.6293306068664","48.0165482047974","48.9161311757739","47.6070775524237","47.7069446062425","46.3751428184051","46.3891825611433","44.0881219769191","47.7427431456915","44.9785346616724","41.4210558503861","38.526466781573","38.8433477663895","40.5309727659451","47.9223654890216","52.1511047329015","50.149572697062","48.5266536317816","50.1619402889172","52.8216085887867","47.945167920397"
